epoch,train_loss,dev_loss,dev_top1,dev_top3,validation_top1_logged_only,validation_top3_logged_only,scale,bias
1,0.4739879077672958,0.21433847494920094,0.858,0.938,0.4666666666666667,0.6666666666666666,9.96694564819336,-5.040883541107178
2,0.16552590672175088,0.12999739782015482,0.954,0.988,0.4,0.5333333333333333,9.9590425491333,-5.061827182769775
3,0.08566426356633504,0.091964255909125,0.954,0.984,0.5,0.6,9.959321022033691,-5.077774524688721
4,0.053429383640487986,0.07888683108488719,0.962,0.988,0.5333333333333333,0.6,9.96467399597168,-5.088730335235596
5,0.03705508343378703,0.06891239082813264,0.968,0.994,0.5,0.6333333333333333,9.974248886108398,-5.094215393066406
6,0.02430033006767432,0.051809349467357,0.972,0.998,0.5333333333333333,0.6,9.987127304077148,-5.094823837280273
7,0.019089372023940086,0.04905056946476301,0.978,1.0,0.6,0.6666666666666666,10.000868797302246,-5.093420505523682
8,0.015881525114178657,0.04646560689806938,0.98,0.998,0.6,0.7,10.015092849731445,-5.091027736663818
9,0.013714821599423886,0.044774619261423745,0.98,1.0,0.6,0.6333333333333333,10.029605865478516,-5.088106632232666
10,0.012350999467074871,0.043044957727193835,0.98,0.998,0.6,0.6333333333333333,10.044323921203613,-5.084644317626953
11,0.010952728939553102,0.04575005203485489,0.978,1.0,0.6,0.6333333333333333,10.059605598449707,-5.080256938934326
12,0.00998323042690754,0.04280434747536977,0.982,0.998,0.6,0.6333333333333333,10.075454711914062,-5.075274467468262
13,0.009039896057297787,0.04204363012313843,0.982,0.998,0.6,0.7,10.091241836547852,-5.069930076599121
14,0.00826670000826319,0.043736340959866844,0.98,0.998,0.6,0.6333333333333333,10.107397079467773,-5.064088821411133
15,0.00776056723172466,0.042586926529804864,0.98,0.996,0.6,0.6666666666666666,10.123531341552734,-5.058403491973877
16,0.007149753006796042,0.04371151899298032,0.982,0.996,0.6,0.6333333333333333,10.140092849731445,-5.051901340484619
