epoch,train_loss,dev_loss,dev_top1,dev_top3,validation_top1_logged_only,validation_top3_logged_only,scale,bias
1,0.443278080701828,0.19376373445987702,0.86,0.94,0.6666666666666666,0.7333333333333333,9.972806930541992,-5.034524917602539
2,0.15721462845802306,0.13078470593690872,0.952,0.982,0.7,0.8333333333333334,9.966179847717285,-5.054687023162842
3,0.08957176148891449,0.09729968800147375,0.946,0.99,0.7666666666666667,0.7666666666666667,9.965286254882812,-5.071980953216553
4,0.062180141220490134,0.07873210006952286,0.976,0.996,0.8,0.8333333333333334,9.970356941223145,-5.0836567878723145
5,0.03935851447780927,0.06522575466831525,0.98,0.998,0.7666666666666667,0.8,9.97790813446045,-5.092390537261963
6,0.030405212998390198,0.06501773657401402,0.982,0.998,0.7333333333333333,0.7666666666666667,9.988137245178223,-5.097285270690918
7,0.029868986715873083,0.0649498846034209,0.984,0.996,0.7666666666666667,0.8,9.996671676635742,-5.105753421783447
8,0.021508831905821958,0.05618469072381655,0.982,0.996,0.7,0.7666666666666667,10.008655548095703,-5.108870029449463
9,0.016533201505740485,0.05855652213096619,0.988,0.998,0.7,0.8,10.022611618041992,-5.107773303985596
10,0.014432064195473989,0.07120653859774272,0.982,0.998,0.7333333333333333,0.8,10.036731719970703,-5.106313228607178
11,0.013732407614588738,0.056060920536518094,0.988,0.996,0.7333333333333333,0.8,10.050381660461426,-5.105393886566162
12,0.011948471464216709,0.053714137951533,0.982,0.996,0.6666666666666666,0.8,10.065277099609375,-5.103365421295166
