epoch,train_loss,dev_loss,dev_top1,dev_top3,validation_top1_logged_only,validation_top3_logged_only,scale,bias
1,0.5699987007776897,0.3989318510691325,0.534,0.622,0.6333333333333333,0.6666666666666666,9.925455093383789,-5.064767360687256
2,0.2979219413201014,0.25851046506563824,0.536,0.626,0.5,0.6,9.888774871826172,-5.105688095092773
3,0.20826395865281422,0.23786470822493236,0.63,0.734,0.5666666666666667,0.6,9.873208999633789,-5.131534099578857
4,0.15999630745251975,0.18694683369000753,0.688,0.794,0.6666666666666666,0.6666666666666666,9.86679458618164,-5.153259754180908
5,0.11376765497525533,0.18045781989892323,0.712,0.796,0.6333333333333333,0.6333333333333333,9.87228012084961,-5.167059898376465
6,0.10014337436358134,0.17843080294132233,0.728,0.814,0.6333333333333333,0.6666666666666666,9.88239860534668,-5.180678367614746
7,0.08888070468107859,0.1626198538939158,0.692,0.782,0.6666666666666666,0.6666666666666666,9.896780014038086,-5.191910743713379
8,0.07435044206182162,0.1478535815278689,0.752,0.834,0.6666666666666666,0.7,9.91767692565918,-5.198286533355713
9,0.06590979633728664,0.1501653717358907,0.734,0.814,0.6666666666666666,0.7,9.940896034240723,-5.202967643737793
10,0.06403646920124689,0.13479554645220437,0.744,0.832,0.6666666666666666,0.7,9.963027954101562,-5.21189546585083
11,0.05300618990262349,0.13351215585072834,0.77,0.838,0.6333333333333333,0.6666666666666666,9.990950584411621,-5.213605880737305
12,0.04532543005545934,0.13046612113714218,0.756,0.852,0.6666666666666666,0.6666666666666666,10.023155212402344,-5.213841915130615
13,0.04385030201077461,0.11759666792551676,0.79,0.862,0.7,0.7333333333333333,10.05538272857666,-5.216307640075684
14,0.039019582291444144,0.12642382589975992,0.736,0.824,0.6333333333333333,0.7,10.08925724029541,-5.215522766113281
15,0.03957408266266187,0.12130604972441991,0.772,0.858,0.6333333333333333,0.7,10.120584487915039,-5.218325138092041
16,0.03360115622977416,0.11317098311583201,0.77,0.856,0.6666666666666666,0.7,10.157023429870605,-5.21584939956665
